source_site,brand,model,year,vehicle_age,mileage_km,log_mileage,transmission,fuel_type,engine_cc,location,price_lkr,log_price
ikman,Mazda,Bongo,1986.0,40.0,2000000.0,14.508658238524095,Other,Other,20000.0,"Nugegoda, Colombo",29000000,17.182806422433504
ikman,Toyota,Liteace,1988.0,38.0,1000000.0,13.815511557963774,Other,Other,18300.0,,28000000,17.147715103853763
ikman,Toyota,Other,1988.0,38.0,150000.0,11.918397239722838,Manual,Petrol,13000.0,"Giriulla, Kurunegala",22000000,16.906553056777135
ikman,Toyota,Raize,2026.0,0.0,150.0,5.017279836814924,Automatic,Hybrid,12000.0,Dehiwala,146500000,18.802535993247336
ikman,Toyota,Yaris,2024.0,2.0,350000.0,12.765691290604371,Automatic,Petrol,10000.0,"Colombo 3, Colombo",98000000,18.400478046838927
ikman,Suzuki,Every,2017.0,9.0,920000.0,13.732130035981154,Other,Other,6500.0,"Maharagama, Colombo",59750000,17.905679765512296
ikman,Other,Other,2019.0,7.0,1230000.0,14.0225255403564,Manual,Petrol,2170.0,"Kandy City, Kandy",14000000,16.454567959008102
ikman,Toyota,Yaris,2024.0,2.0,110000.0,11.608244735642321,Automatic,Petrol,10000.0,Gampaha City,99900000,18.41968025362879
ikman,Other,Other,2004.0,22.0,1200000.0,13.997832948091215,Automatic,Petrol,12000.0,"Piliyandala, Colombo",23750000,16.983093130550188
ikman,Suzuki,Every,2025.0,1.0,80000.0,11.289794413577894,Other,Other,6500.0,"Maharagama, Colombo",73500000,18.112795977788508
ikman,Suzuki,Wagon R Fx,2018.0,8.0,780000.0,13.567050480716235,Automatic,Petrol,6600.0,"Maharagama, Colombo",68000000,18.035018277846262
ikman,Kia,Sonet,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Dehiwala, Colombo",123500000,18.631751722129472
ikman,Suzuki,Wagon R,2026.0,0.0,0.0,0.0,Automatic,Hybrid,6500.0,"Kandy City, Kandy",97500000,18.395362946224484
ikman,Mitsubishi,Lancer,2013.0,13.0,660000.0,13.399996629152975,Automatic,Petrol,16000.0,"Piliyandala, Colombo",89000000,18.30414693893237
ikman,Mitsubishi,Lancer,2005.0,21.0,1000000.0,13.815511557963774,Manual,Petrol,15000.0,"Colombo 5, Colombo",59850000,17.907352006676692
ikman,Nissan,Roox,2024.0,2.0,230000.0,12.345838935721968,Automatic,Petrol,6600.0,Anuradhapura City,87500000,18.287149362756413
ikman,Dfsk,Glory,2023.0,3.0,390000.0,12.873904582205107,Automatic,Petrol,15000.0,"Boralesgamuwa, Colombo",105000000,18.46947091764561
ikman,Toyota,Belta,2009.0,17.0,2500000.0,14.731801689838349,Automatic,Petrol,10000.0,"Moratuwa, Colombo",60000000,17.909855136853043
ikman,Toyota,Taisor,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Colombo 6, Colombo",116400000,18.572543101852677
ikman,Mg,Other,2018.0,8.0,1350000.0,14.115615891155079,Tiptronic,Petrol,9900.0,"Pannipitiya, Colombo",83500000,18.24035720179713
ikman,Toyota,Roomy,2026.0,0.0,0.0,0.0,Automatic,Petrol,9900.0,"Kohuwala, Colombo",124500000,18.639816281901165
ikman,Suzuki,Other,2018.0,8.0,790000.0,13.579789490265188,Automatic,Hybrid,10000.0,"Anuradhapura City, Anuradhapura",83500000,18.24035720179713
ikman,Toyota,Raize,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,Moratuwa,134500000,18.71707476444111
ikman,Kia,Sorento,2014.0,12.0,2800000.0,14.845130332288226,Tiptronic,Diesel,21990.0,"Kaduwela, Colombo",135000000,18.72078534381011
ikman,Mazda,Bongo,1996.0,30.0,2500000.0,14.731801689838349,Other,Other,21800.0,"Balangoda, Ratnapura",47500000,17.6762402900575
ikman,Suzuki,Wagon R,2024.0,2.0,60000.0,11.002116507732017,Automatic,Petrol,6600.0,"Panadura, Kalutara",76900000,18.158016447479774
ikman,Toyota,Premio,2013.0,13.0,1490000.0,14.214287349062356,Automatic,Petrol,15000.0,"Chilaw, Puttalam",50000000,17.72753358339242
ikman,Mahindra,Other,2026.0,0.0,0.0,0.0,Manual,Diesel,21790.0,"Mahiyanganaya, Badulla",76228800,18.14924991512503
ikman,Nissan,Sunny,2002.0,24.0,2340000.0,14.66566191468422,Automatic,Petrol,15000.0,Horana,54000000,17.804494623047066
ikman,Suzuki,Wagon R,2026.0,0.0,0.0,0.0,Automatic,Petrol,6600.0,"Kohuwala, Colombo",83250000,18.23735869883684
ikman,Toyota,Corolla,1999.0,27.0,2250000.0,14.626441218624949,Automatic,Petrol,15000.0,"Kandy City, Kandy",44000000,17.599700214609808
ikman,Daihatsu,Mira,2023.0,3.0,188000.0,12.144202560946876,Automatic,Petrol,6600.0,Malabe,68900000,18.048166750497675
ikman,Toyota,Prius,2012.0,14.0,1250000.0,14.038654909278163,Automatic,Hybrid,18000.0,"Panadura, Kalutara",99750000,18.41817762375931
ikman,Nissan,Dayz,2025.0,1.0,50000.0,10.819798284210286,Automatic,Petrol,6600.0,"Colombo 3, Colombo",75000000,18.132998684833918
ikman,Toyota,Townace,1997.0,29.0,2700000.0,14.80876270134486,Other,Other,20000.0,"Colombo 5, Colombo",67000000,18.020203192280615
ikman,Suzuki,Wagon R Fx,2024.0,2.0,50000.0,10.819798284210286,Automatic,Petrol,6500.0,"Malabe, Colombo",78500000,18.17860919549149
ikman,Mitsubishi,Ek Wagon,2025.0,1.0,40000.0,10.596659732783579,Automatic,Petrol,6500.0,Maharagama,73500000,18.112795977788508
ikman,Nissan,Sunny,1991.0,35.0,2500.0,7.824445930877619,Manual,Petrol,14000.0,"Kuliyapitiya, Kurunegala",22700000,16.937875526504495
ikman,Volkswagen,Other,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,Kohuwala,117900000,18.585347373989364
ikman,Peugeot,3008,2018.0,8.0,1060000.0,13.87378040948403,Automatic,Petrol,12000.0,"Kurunegala City, Kurunegala",145000000,18.7922443072814
ikman,Toyota,Aqua,2013.0,13.0,1920000.0,14.467836264837162,Automatic,Hybrid,15000.0,"Kohuwala, Colombo",75900000,18.144927255541088
ikman,Nissan,Vanette,2007.0,19.0,2228000.0,14.616615328862245,Other,Other,18000.0,"Colombo 10, Colombo",65500000,17.997560715872655
ikman,Daihatsu,Rocky,2024.0,2.0,50000.0,10.819798284210286,Automatic,Hybrid,12000.0,"Dehiwala, Colombo",139750000,18.75536567715512
ikman,Suzuki,Every,2024.0,2.0,350000.0,12.765691290604371,Other,Other,6500.0,"Talawatugoda, Colombo",78000000,18.17221939747438
ikman,Nissan,X-Trail,2011.0,15.0,1670000.0,14.328334783195153,Automatic,Petrol,20000.0,Kohuwala,79500000,18.191267592203175
ikman,Toyota,Other,2025.0,1.0,100000.0,11.51293546492023,Automatic,Petrol,9980.0,"Maharagama, Colombo",87000000,18.28141868811311
ikman,Suzuki,Alto,2016.0,10.0,960000.0,13.774689605110144,Automatic,Petrol,6500.0,"Narammala, Kurunegala",60000000,17.909855136853043
ikman,Toyota,Taisor,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Piliyandala, Colombo",115450000,18.564348102426536
ikman,Daihatsu,Mira,2024.0,2.0,89000.0,11.39640288460621,Automatic,Petrol,6600.0,"Galle City, Galle",69750000,18.060427993002666
ikman,Toyota,Premio,2014.0,12.0,1098400.0,13.909366043850634,Automatic,Petrol,14900.0,Wennappuwa,123000000,18.627694921466773
ikman,Chery,Other,2011.0,15.0,1098300.0,13.909274998274066,Manual,Petrol,8000.0,"Hatton, Nuwara Eliya",21000000,16.860033043306743
ikman,Suzuki,Celerio,2015.0,11.0,860000.0,13.664688831019712,Automatic,Petrol,10000.0,"Moratuwa, Colombo",55850000,17.838180101384587
ikman,Suzuki,Wagon R Fx,2023.0,3.0,87370.0,11.377918698802924,Automatic,Petrol,6580.0,"Boralesgamuwa, Colombo",77500000,18.1657885072268
ikman,Honda,Fit,2012.0,14.0,1160000.0,13.963931425151141,Automatic,Hybrid,13300.0,"Talawatugoda, Colombo",70000000,18.064005814299346
ikman,Isuzu,Other Model,1983.0,43.0,2000000.0,14.508658238524095,Other,Other,19500.0,"Matara City, Matara",7500000,15.830413711839864
ikman,Mitsubishi,Other,2018.0,8.0,940000.0,13.753636218075409,Automatic,Petrol,15000.0,"Nugegoda, Colombo",132000000,18.6983124881264
ikman,Hyundai,Venue,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Colombo 4, Colombo",129000000,18.675322970077882
ikman,Other,Other Model,1975.0,51.0,45000.0,10.714439990727769,Manual,Petrol,12000.0,"Gampola, Kandy",8750000,15.984564372619506
ikman,Audi,Other,2016.0,10.0,1060000.0,13.87378040948403,Automatic,Petrol,10000.0,,87000000,18.28141868811311
ikman,Toyota,Yaris,2023.0,3.0,10000.0,9.210440366976517,Automatic,Petrol,10000.0,Battaramulla,102500000,18.445373366298835
ikman,Other,Other,2003.0,23.0,1240000.0,14.030622744032508,Automatic,Petrol,20990.0,"Galle City, Galle",60000000,17.909855136853043
ikman,Toyota,Taisor,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Boralesgamuwa, Colombo",114800000,18.55870205056054
ikman,Toyota,Taisor,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Colombo 6, Colombo",116750000,18.57554546307859
ikman,Suzuki,Every,2024.0,2.0,50000.0,10.819798284210286,Other,Other,6500.0,"Galle City, Galle",76900000,18.158016447479774
ikman,Toyota,Raize,2026.0,0.0,1000.0,6.90875477931522,Automatic,Hybrid,11960.0,"Kohuwala, Colombo",135800000,18.72669378045264
ikman,Toyota,Raize,2025.0,1.0,115000.0,11.652696102959753,Automatic,Petrol,10000.0,"Anuradhapura City, Anuradhapura",119500000,18.59882693770404
ikman,Nissan,Clipper,2018.0,8.0,1200000.0,13.997832948091215,Other,Other,6600.0,,58900000,17.891351665599743
ikman,Mitsubishi,Other,2018.0,8.0,800000.0,13.592368256649284,Automatic,Petrol,14900.0,"Boralesgamuwa, Colombo",127900000,18.666759274367678
ikman,Suzuki,Other,2023.0,3.0,116000.0,11.661354090741,Automatic,Hybrid,6600.0,"Mawathagama, Kurunegala",80750000,18.20686853245094
ikman,Ford,Other,1988.0,38.0,3192000.0,14.976158550834995,Manual,Petrol,13000.0,"Gampaha City, Gampaha",12900000,16.372737946851277
ikman,Toyota,Taisor,2026.0,0.0,0.0,0.0,Automatic,Hybrid,10000.0,"Negombo, Gampaha",118000000,18.586195190904515
ikman,Daihatsu,Mira,2025.0,1.0,0.0,0.0,Automatic,Petrol,6500.0,"Katugastota, Kandy",69500000,18.05683732492351
ikman,Honda,Vezel,2014.0,12.0,1120000.0,13.928840136128022,Automatic,Hybrid,15000.0,"Mawanella, Kegalle",97500000,18.395362946224484
ikman,Toyota,Prius,2011.0,15.0,1330340.0,14.10094585831283,Automatic,Hybrid,17900.0,"Malabe, Colombo",95750000,18.377251196468894
ikman,Nissan,Largo,1993.0,33.0,1200000.0,13.997832948091215,Other,Other,19000.0,"Bandaragama, Kalutara",32500000,17.296750678069195
ikman,Daihatsu,Other,2023.0,3.0,55480.0,10.923795898779666,Automatic,Petrol,10000.0,"Boralesgamuwa, Colombo",83500000,18.24035720179713
ikman,Suzuki,Alto,2015.0,11.0,970000.0,13.785052381406869,Manual,Petrol,8000.0,"Kurunegala City, Kurunegala",40500000,17.516812556768127
ikman,Suzuki,Wagon R Zx,2025.0,1.0,40000.0,10.596659732783579,Automatic,Hybrid,6600.0,,89900000,18.31420851056532
